run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels_full,enough_levels_partial,reason
627.0,delta_1232,baryon,4.5538991286513,level1,none,1.0,1.0,baryon_to_complex_core
628.0,delta_1232,baryon,16.88309136455426,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
629.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
630.0,delta_1232,baryon,10.324637424750055,level1,none,0.0,1.0,baryon_to_complex_core
631.0,delta_1232,baryon,18.79863551951512,level1,none,0.0,1.0,baryon_to_complex_core
632.0,delta_1232,baryon,10.32463742475005,level1,none,0.0,1.0,baryon_to_complex_core
633.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
634.0,delta_1232,baryon,11.33913015834397,level1,none,0.0,1.0,baryon_to_complex_core
635.0,delta_1232,baryon,11.175176234999354,level1,none,1.0,1.0,baryon_to_complex_core
636.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
637.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
638.0,kaon,meson,5.107445446200111,level1,none,1.0,1.0,max_blocks_reached
639.0,quark_ud_const,effective_quark,8.720212625912634,level2,none,1.0,1.0,max_blocks_reached
640.0,kaon,meson,5.107445446200115,level1,none,1.0,1.0,max_blocks_reached
641.0,delta_1232,baryon,8.857729247777534,level1,none,1.0,1.0,baryon_to_complex_core
642.0,delta_1232,baryon,2.851207655183669,level1,none,1.0,1.0,baryon_to_complex_core
643.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
644.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
645.0,quark_ud_const,effective_quark,8.828451127358882,level2,none,1.0,1.0,max_blocks_reached
646.0,phi,meson,0.999999950000009,level1,none,1.0,1.0,max_blocks_reached
647.0,delta_1232,baryon,3.0888082960091623,level1,none,1.0,1.0,baryon_to_complex_core
648.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
649.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
650.0,delta_1232,baryon,22.311298678547054,none,structural,0.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
651.0,delta_1232,baryon,2.851207655183673,level1,none,1.0,1.0,baryon_to_complex_core
652.0,delta_1232,baryon,11.339130158343963,level1,none,0.0,1.0,baryon_to_complex_core
653.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
654.0,delta_1232,baryon,2.851207655183671,level1,none,1.0,1.0,baryon_to_complex_core
655.0,quark_ud_const,effective_quark,11.51902358443592,level2,none,1.0,1.0,max_blocks_reached
656.0,kaon,meson,5.10744544620012,level1,none,1.0,1.0,max_blocks_reached
657.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
658.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
659.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
660.0,delta_1232,baryon,12.891925147928712,level1,none,0.0,1.0,baryon_to_complex_core
661.0,delta_1232,baryon,3.088808296009161,level1,none,1.0,1.0,baryon_to_complex_core
662.0,delta_1232,baryon,11.175176234999348,level1,none,1.0,1.0,baryon_to_complex_core
663.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
664.0,delta_1232,baryon,15.123349066083579,level1,none,0.0,1.0,baryon_to_complex_core
665.0,delta_1232,baryon,7.741921439115185,level1,none,1.0,1.0,baryon_to_complex_core
666.0,delta_1232,baryon,2.851207655183673,level1,none,1.0,1.0,baryon_to_complex_core
667.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
668.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
669.0,delta_1232,baryon,8.857729247777527,level1,none,1.0,1.0,baryon_to_complex_core
670.0,delta_1232,baryon,3.088808296009163,level1,none,1.0,1.0,baryon_to_complex_core
671.0,delta_1232,baryon,12.205152673764594,level1,none,1.0,1.0,baryon_to_complex_core
672.0,delta_1232,baryon,19.199999520000013,none,structural,0.0,0.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
673.0,delta_1232,baryon,19.199999520000013,none,structural,0.0,0.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
674.0,kaon,meson,5.10744544620012,level1,none,1.0,1.0,max_blocks_reached
675.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
676.0,quark_ud_const,effective_quark,8.553427766188122,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1
677.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
678.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
679.0,delta_1232,baryon,3.08880829600917,level1,none,1.0,1.0,baryon_to_complex_core
680.0,quark_s_const,effective_quark,19.999999696666663,none,none,1.0,1.0,tier_below_level1
681.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
682.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
683.0,delta_1232,baryon,16.799053524504906,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
684.0,delta_1232,baryon,8.85772924777754,level1,none,1.0,1.0,baryon_to_complex_core
685.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
686.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
687.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
688.0,quark_ud_const,effective_quark,12.236170004891811,none,none,1.0,1.0,tier_below_level1
689.0,phi,meson,0.999999950000009,level1,none,1.0,1.0,max_blocks_reached
690.0,delta_1232,baryon,19.233866810053062,none,none,0.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
691.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
692.0,delta_1232,baryon,4.553899128651301,level1,none,1.0,1.0,baryon_to_complex_core
693.0,delta_1232,baryon,6.3471616782872315,level1,none,1.0,1.0,baryon_to_complex_core
694.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
695.0,delta_1232,baryon,19.199999520000013,none,none,0.0,0.0,tier_below_level1;baryon_to_complex_core
696.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
697.0,delta_1232,baryon,17.075844994469087,level1,none,0.0,1.0,baryon_to_complex_core
698.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
