run_id,target_name,family,type,jpc,d_total,d_spacing,d_mass,score_used,score_mode,enough_levels_full,enough_levels_partial,n_levels_sim,policy_status,policy_reason,policy_rejected,policy_preferred_parity,policy_allowed_k,run_dominant_parity,run_k_used,run_sector_confidence
0.0,lambda_c_2595,charmed_baryon,baryon,1/2-,105.05328692778552,nan,105.05328692778552,105.05328692778552,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,lambda_c_2625,charmed_baryon,baryon,3/2-,44.42131881324542,nan,44.42131881324542,44.42131881324542,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,xi_c_prime_2575,charmed_baryon,baryon,1/2+,154.07991813502042,nan,154.07991813502042,154.07991813502042,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,xi_c_2645,charmed_baryon,baryon,3/2+,34.21598962020052,nan,34.21598962020052,34.21598962020052,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,psi_3770,charmonium,meson,1-,72.4927901650884,nan,72.4927901650884,72.4927901650884,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,chi_c1_3872,charmonium,meson,1+,382.06388891122214,nan,382.06388891122214,382.06388891122214,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,psi_4040,charmonium,meson,1-,69.2439919125336,nan,69.2439919125336,69.2439919125336,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,psi_4160,charmonium,meson,1-,89.17278949788842,nan,89.17278949788842,89.17278949788842,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,chi_c0_3915,charmonium,meson,0+,65.21065871364472,nan,65.21065871364472,65.21065871364472,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,psi_4230,charmonium,meson,1-,90.73278943548844,nan,90.73278943548844,90.73278943548844,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,chi_c0_4500,charmonium,meson,0+,84.81065806031141,nan,84.81065806031141,84.81065806031141,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,eta_c_2s,charmonium,meson,0-,31.061477695528186,nan,31.061477695528186,31.061477695528186,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,lambda_c_2765,charmed_baryon,baryon,1/2-,8.043198185768018,nan,8.043198185768018,8.043198185768018,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,lambda_c_2860,charmed_baryon,baryon,3/2+,35.772791633888325,nan,35.772791633888325,35.772791633888325,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
1.0,electron,lepton,elementary,1/2+,21972.69961680383,nan,21972.69961680383,21972.69961680383,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
1.0,muon,lepton,elementary,1/2+,209.21427251657275,nan,209.21427251657275,209.21427251657275,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
1.0,pion,pion_like,meson,0-,41.17605786407884,nan,41.17605786407884,41.17605786407884,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
1.0,eta,eta_like,meson,0-,27.5133817811103,nan,27.5133817811103,27.5133817811103,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
1.0,rho,rho_like,meson,1-,17.785036457437045,nan,17.785036457437045,17.785036457437045,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
1.0,omega_782,omega_like,meson,1-,28.316058121278832,nan,28.316058121278832,28.316058121278832,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
