run_id,dof_grade,dof_family_id,dof_family_friendly,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
121,A,FFC97,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,8.994296806008903,2.387720984293386,,0.6319975111527996,23,0.1647942524914875,0.9995235960148606,0.004306747801028804,
122,A,F387F,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,8.285961662513047,9.634098940705389,,0.6061756949230913,19,0.3433237724957586,0.9995599648576,0.004090513386006726,
123,A,FFC97,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.840675916295212,9.89472890968485,,0.6132819956071567,22,0.1705410749301384,0.9994974244231084,0.004574897083318383,
124,A,F0269,LOCKED_lowEnt_midBands_S1Q_bin2_S2S1_bin3,2.511787045242865,2.8337748137326555,,0.6494128126104508,13,0.33545917043132123,0.9997535452428001,0.0023942899135834736,
125,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,6.641408137422322,6.892224263214735,,0.6293741938299908,12,0.38643452904367065,0.9996725044214191,0.003131914413536708,
126,A,F012B,LOCKED_lowEnt_midBands_S1Q_bin1_S2S1_bin3,2.173921905675802,8.225345306348801,,0.6587117016096616,11,0.37984660975783036,0.999851790625889,0.001526057707054326,
127,A,FFC97,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,8.320586180103236,9.92351968085312,,0.6299882521950032,24,0.17912968795197992,0.9995242465247642,0.004292235489345503,
128,A,F4EEF,LOCKED_lowEnt_maxBands_S1Q_bin8_S2S1_bin3,6.773669616074926,8.283012239215516,,0.6015917265074873,28,0.31428795245399405,0.9993402729635958,0.005805433008621118,
129,A,F2447,LOCKED_lowEnt_midBands_S1Q_bin4_S2S1_bin3,3.716394737938254,2.0490719040710794,,0.6132774536100744,12,0.49324794201175487,0.9995423282633995,0.00415537636576548,
13,A,F4EEF,LOCKED_lowEnt_maxBands_S1Q_bin8_S2S1_bin3,6.274601095260091,9.94831338304731,,0.6571399745927542,25,0.3118615844335179,0.9998047036917365,0.00198510554730948,
14,B,F15E4,LOCKED_midEnt_hiBands_S1Q_bin8_S2S1_bin3,7.099154947322618,2.40217084348845,,0.658564974334545,17,0.5215799988179696,0.9983104519723324,0.013228104358628031,
15,A,FB7C0,LOCKED_lowEnt_midBands_S1Q_bin6_S2S1_bin3,4.7540222070309595,6.453915469024809,,0.6155196590279415,14,0.30332473474374344,0.9994081726725528,0.0052139750920166626,
16,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,7.890937471607563,7.42224915242656,,0.6297693495760309,11,0.3691716349608935,0.9996377872591263,0.003420924542499909,
17,A,FDDBA,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.973104746637657,6.8808370021257526,,0.6360811780629054,23,0.20132057554666785,0.9996607698737209,0.003277440292145456,
18,A,F0451,LOCKED_lowEnt_hiBands_S1Q_bin2_S2S1_bin3,2.569979606095883,8.421083503986132,,0.6530147466894793,16,0.19991988167141242,0.9997525909422561,0.0024161734678176394,
19,A,FF1CE,LOCKED_lowEnt_hiBands_S1Q_bin5_S2S1_bin3,4.289370225269431,3.11422530830273,,0.6246163164330593,19,0.4141782890302605,0.9990708894300391,0.007925761539645627,
2,B,F671E,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.432068213157832,7.721908725544431,,0.6433343385384893,12,0.10610594849864104,0.999680283441712,0.003081825523020762,
20,C,F64F1,REJECTED,4.113110007134626,2.311931405897532,,0.6037041171839128,30,0.18753361931951423,0.0005983081709339791,0.010146659709441813,
21,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,9.186521606092692,4.022923212242161,,0.641216176589952,11,0.4536238477448515,0.9992269133914565,0.006847897827101268,
22,A,F59C9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,6.641518626423785,5.010929393725516,,0.6488496153042712,11,0.2545094152996141,0.999336223127857,0.005696488202352997,
23,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.62476887545211,7.745470139064363,,0.633733147040696,12,0.4777158612779234,0.9995660894040705,0.004078011581823006,
24,A,F5139,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,9.664542089124794,6.682866812868381,,0.6460035509840213,20,0.39351081746808614,0.9996528253759358,0.003328837545550385,
25,A,F7881,LOCKED_lowEnt_maxBands_S1Q_bin8_S2S1_bin3,6.596938199646023,8.90276158797709,,0.6151898371637343,28,0.2334350234786211,0.9998457376075336,0.0016151149928469023,
26,A,F2821,LOCKED_lowEnt_midBands_S1Q_bin4_S2S1_bin3,3.6464227982584347,3.489443490786873,,0.6281316591244825,11,0.6303925671255145,0.9994230848157692,0.00502151807394473,
27,A,FFC97,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,8.063143341842691,9.516072308733452,,0.6384261775682305,22,0.17335790991625394,0.9996656597585112,0.0031662047773306336,
28,B,F0BE7,LOCKED_lowEnt_vhiBands_S1Q_bin4_S2S1_bin3,3.9800129430068605,9.311753160391326,,0.6469960651066071,23,0.15397202411443478,0.9995825717211223,0.0039001408570000975,
29,B,F1242,LOCKED_midEnt_midBands_S1Q_bin7_S2S1_bin3,5.565629226607609,5.274811962018436,,0.6083344172154579,12,0.4331029246689659,0.9984996975056003,0.012254817616977557,
3,A,F667F,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,5.844824143506975,4.623707626972141,,0.6305449642261873,12,0.400174346331738,0.9989224955854622,0.009172173173134863,
30,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,9.876607301128313,7.422566953534375,,0.5994272868496464,12,0.34941090879090086,0.9995300057172082,0.004250479721719322,
31,A,F7881,LOCKED_lowEnt_maxBands_S1Q_bin8_S2S1_bin3,8.557635187269982,5.865302047942965,,0.6304145125873649,28,0.2719725400449226,0.9996433392706029,0.0033998829446081976,
32,A,F387F,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,8.929572644061194,9.378748898211503,,0.6318894167530826,17,0.37149963165411914,0.9997396849831061,0.0025347607256901894,
33,A,F5139,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.878348486510452,3.028964775820166,,0.6481958318202665,20,0.3488975889728263,0.9995385375989831,0.004300128022308125,
34,A,F10EA,LOCKED_lowEnt_vhiBands_S1Q_bin4_S2S1_bin3,3.7566913984157875,9.484101514173263,,0.5971541302964879,22,0.3086067939063521,0.9998154188655207,0.0018812795752600506,
