run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels,reason
833.0,proton,baryon,23.17778100942301,none,latent,1.0,tier_too_low
834.0,proton,baryon,17.271012952912606,level1,none,0.0,tier_too_low
835.0,proton,baryon,3.666986925324473,level1,none,0.0,tier_too_low
836.0,proton,baryon,11.610093899277901,level1,latent,1.0,tier_too_low
837.0,proton,baryon,6.417719941371906,none,latent,0.0,tier_too_low
838.0,proton,baryon,20.978244822062965,level1,latent,0.0,tier_too_low
839.0,proton,baryon,11.140534090017015,level1,none,1.0,tier_too_low
840.0,proton,baryon,2.4395652601534135,level1,none,0.0,tier_too_low
841.0,rho,meson,14.89753056907844,none,structural,1.0,tier_too_low
842.0,proton,baryon,15.06015709663034,none,structural,0.0,tier_too_low
843.0,proton,baryon,2.4395652601534046,level1,latent,0.0,tier_too_low
844.0,rho,meson,9.79295549753188,none,latent,1.0,tier_too_low
845.0,proton,baryon,23.07606929573078,level1,latent,0.0,tier_too_low
846.0,rho,meson,10.631216734351298,level1,none,1.0,distance_high
847.0,rho,meson,6.08159360819382,none,structural,1.0,tier_too_low
848.0,proton,baryon,20.3919639209811,level1,latent,0.0,tier_too_low
849.0,proton,baryon,20.177145884674097,none,structural,1.0,tier_too_low
850.0,proton,baryon,20.391963920981105,level1,latent,0.0,tier_too_low
851.0,rho,meson,6.813854466404586,none,latent,1.0,tier_too_low
852.0,proton,baryon,24.23999649469197,none,latent,1.0,tier_too_low
853.0,proton,baryon,22.944202854271122,none,latent,1.0,tier_too_low
854.0,proton,baryon,23.395725374178504,none,latent,1.0,tier_too_low
855.0,rho,meson,22.086830719608205,none,latent,1.0,tier_too_low
856.0,pion,meson,27.151744445898622,none,structural,1.0,tier_too_low
857.0,proton,baryon,19.867364576017476,none,none,1.0,tier_too_low
858.0,proton,baryon,14.95619822383167,level1,none,0.0,tier_too_low
859.0,proton,baryon,21.65428408623802,none,latent,1.0,tier_too_low
860.0,proton,baryon,4.300288204293466,level1,none,0.0,tier_too_low
861.0,proton,baryon,17.59136142064843,none,none,1.0,tier_too_low
862.0,proton,baryon,4.818443796177192,level1,none,0.0,tier_too_low
863.0,rho,meson,7.248821423039118,none,latent,1.0,tier_too_low
864.0,proton,baryon,20.38457121503571,none,latent,1.0,tier_too_low
865.0,proton,baryon,2.8753603266132277,level1,none,0.0,tier_too_low
866.0,proton,baryon,11.401400650717507,level1,none,1.0,tier_too_low
867.0,proton,baryon,2.439565260153411,level1,latent,0.0,tier_too_low
868.0,rho,meson,23.93311486410513,none,latent,1.0,tier_too_low
869.0,proton,baryon,13.402823649842734,none,structural,0.0,tier_too_low
870.0,proton,baryon,2.87536032661323,level1,latent,0.0,tier_too_low
871.0,rho,meson,10.546239958274047,none,latent,1.0,tier_too_low
872.0,proton,baryon,2.846159455948179,level1,none,0.0,tier_too_low
873.0,proton,baryon,21.65428408623802,none,latent,1.0,tier_too_low
874.0,rho,meson,10.010013505937852,none,latent,1.0,tier_too_low
875.0,proton,baryon,23.685462343572524,none,latent,1.0,tier_too_low
876.0,proton,baryon,11.140534090017024,level1,none,1.0,tier_too_low
877.0,rho,meson,9.40370350492243,none,latent,1.0,tier_too_low
878.0,proton,baryon,2.875360326613234,level1,none,0.0,tier_too_low
879.0,proton,baryon,15.944358285629505,none,latent,1.0,tier_too_low
880.0,rho,meson,11.655447963654854,none,structural,1.0,tier_too_low
881.0,proton,baryon,19.025380750344098,none,none,1.0,tier_too_low
882.0,proton,baryon,22.46702714161369,none,latent,1.0,tier_too_low
883.0,rho,meson,10.11975288954976,level1,none,1.0,distance_high
884.0,rho,meson,9.096825208928347,none,latent,1.0,tier_too_low
885.0,rho,meson,9.835802273209055,none,latent,1.0,tier_too_low
886.0,proton,baryon,3.666986925324471,level1,latent,0.0,tier_too_low
