run_id,target_name,family,type,d_total,d_spacing,d_mass,enough_levels_full,enough_levels_partial,n_levels_sim
244.0,quark_ud_const,quark_like,constituent,15.033333183000002,nan,15.033333183000002,1,1,6
244.0,quark_s_const,quark_like,constituent,11.111111018518521,nan,11.111111018518521,1,1,6
244.0,proton,nucleon_like,baryon,7.672500069638845,2.103750139248216,5.568749930390629,1,1,6
244.0,neutron,nucleon_like,baryon,7.665933874163574,2.103433943694821,5.5624999304687535,1,1,6
244.0,delta_1232,delta_like,baryon,6.180078436025584,2.9923006901255818,3.1877777459000014,1,1,6
244.0,electron,lepton,elementary,18328.040052932804,nan,18328.040052932804,1,1,6
244.0,muon,lepton,elementary,1727.6716056617279,nan,1727.6716056617279,1,1,6
244.0,tau,lepton,elementary,5.6533327680000784,nan,5.6533327680000784,1,1,6
244.0,photon,gauge_boson,elementary,183315.00183315002,nan,183315.00183315002,1,1,6
244.0,deuteron,nucleus,composite,4.226666244000021,nan,4.226666244000021,1,1,6
244.0,alpha,nucleus,composite,94.70332859816689,nan,94.70332859816689,1,1,6
245.0,pion,pion_like,meson,19.58618422656237,2.91864832802903,16.66753589853334,1,1,4
245.0,rho,rho_like,meson,9.68856384319023,2.2130204583736526,7.475543384816579,1,1,4
245.0,kaon,kaon_like,meson,17.476037834469597,2.599951125882634,14.876086708586964,1,1,4
245.0,phi,phi_like,meson,11.14903065953239,2.4812771808065377,8.667753478725851,1,1,4
245.0,eta,eta_like,meson,14.059795912803267,2.2089808435471507,11.850815069256116,1,1,4
245.0,omega_782,omega_like,meson,11.75954145570978,2.1587263583286624,9.600815097381117,1,1,4
245.0,Kstar_892,kstar_like,meson,9.03483046504104,1.8491783629845182,7.1856521020565225,1,1,4
245.0,eta_prime,eta_prime_like,meson,8.680869478408697,nan,8.680869478408697,1,1,4
245.0,quark_ud_const,quark_like,constituent,14.960869415608697,nan,14.960869415608697,1,1,4
245.0,quark_s_const,quark_like,constituent,11.05072454559179,nan,11.05072454559179,1,1,4
245.0,proton,nucleon_like,baryon,7.704816594216025,1.8982949276671104,5.806521666548915,1,1,4
245.0,neutron,nucleon_like,baryon,7.697906707945417,1.8976350413183762,5.80027166662704,1,1,4
245.0,delta_1232,delta_like,baryon,6.274366661965486,2.983931912261138,3.2904347497043482,1,1,4
245.0,electron,lepton,elementary,18255.577009447297,nan,18255.577009447297,1,1,4
245.0,muon,lepton,elementary,1720.425236096503,nan,1720.425236096503,1,1,4
245.0,tau,lepton,elementary,4.928695159304415,nan,4.928695159304415,1,1,4
245.0,photon,gauge_boson,elementary,182590.43660851306,nan,182590.43660851306,1,1,4
245.0,deuteron,nucleus,composite,4.951303852695684,nan,4.951303852695684,1,1,4
245.0,alpha,nucleus,composite,95.06564742063065,nan,95.06564742063065,1,1,4
246.0,pion,pion_like,meson,20.900376667557115,3.171676457159364,17.72870021039775,1,1,4
246.0,rho,rho_like,meson,10.744815366703197,2.606044281997156,8.138771084706041,1,1,4
246.0,kaon,kaon_like,meson,18.959423771452933,2.756881668613939,16.202542102838994,1,1,4
246.0,phi,phi_like,meson,12.704827814860897,2.7106189418830144,9.994208872977882,1,1,4
246.0,eta,eta_like,meson,15.23220846824929,2.3865518491589772,12.845656619090313,1,1,4
246.0,omega_782,omega_like,meson,12.962617763966856,2.366961116751543,10.595656647215312,1,1,4
246.0,Kstar_892,kstar_like,meson,10.05832368298888,2.076798339075315,7.981525343913564,1,1,4
246.0,eta_prime,eta_prime_like,meson,9.74203380088475,nan,9.74203380088475,1,1,4
246.0,quark_ud_const,quark_like,constituent,16.02203373808475,nan,16.02203373808475,1,1,4
246.0,quark_s_const,quark_like,constituent,11.935028149129007,nan,11.935028149129007,1,1,4
246.0,proton,nucleon_like,baryon,8.621490178515788,2.48335466202214,6.138135516493649,1,1,4
246.0,neutron,nucleon_like,baryon,8.614982934749822,2.483097418178048,6.131885516571774,1,1,4
246.0,delta_1232,delta_like,baryon,7.424922543135555,3.6039056321931797,3.8210169109423755,1,1,4
246.0,electron,lepton,elementary,19316.730730997777,nan,19316.730730997777,1,1,4
246.0,muon,lepton,elementary,1826.5415632889456,nan,1826.5415632889456,1,1,4
246.0,tau,lepton,elementary,15.540337429017152,nan,15.540337429017152,1,1,4
246.0,photon,gauge_boson,elementary,193201.01888116274,nan,193201.01888116274,1,1,4
246.0,deuteron,nucleus,composite,5.660338417017053,nan,5.660338417017053,1,1,4
246.0,alpha,nucleus,composite,89.75982602048325,nan,89.75982602048325,1,1,4
247.0,pion,pion_like,meson,17.005667965603898,2.4699693315866886,14.53569863401721,1,1,3
247.0,rho,rho_like,meson,7.703138243891304,1.5599931593902931,6.14314508450101,1,1,3
247.0,kaon,kaon_like,meson,13.732695310578778,1.521405191519634,12.211290119059145,1,1,3
247.0,phi,phi_like,meson,6.908023221029143,0.9050663318311096,6.002956889198033,1,1,3
247.0,eta,eta_like,meson,10.840795583259387,0.9885779644766246,9.852217618782763,1,1,3
247.0,omega_782,omega_like,meson,8.329796516792436,0.7275788698846725,7.602217646907764,1,1,3
247.0,Kstar_892,kstar_like,meson,5.871575066421068,0.2848009287404225,5.586774137680646,1,1,3
247.0,eta_prime,eta_prime_like,meson,5.2587096248322585,nan,5.2587096248322585,1,1,3
247.0,quark_ud_const,quark_like,constituent,11.538709562032258,nan,11.538709562032258,1,1,3
247.0,quark_s_const,quark_like,constituent,8.198924662858424,nan,8.198924662858424,1,1,3
247.0,proton,nucleon_like,baryon,6.777917570140321,1.2306058115247294,5.547311758615592,0,1,3
247.0,neutron,nucleon_like,baryon,6.764443509524337,1.2254650841379116,5.538978425386426,0,1,3
247.0,delta_1232,delta_like,baryon,4.275708227750647,2.0511921209635497,2.2245161067870973,1,1,3
247.0,electron,lepton,elementary,14833.451342905926,nan,14833.451342905926,1,1,3
247.0,muon,lepton,elementary,1378.209589532346,nan,1378.209589532346,1,1,3
247.0,tau,lepton,elementary,29.292900296516414,nan,29.292900296516414,1,1,3
247.0,photon,gauge_boson,elementary,148372.2595482387,nan,148372.2595482387,1,1,3
247.0,deuteron,nucleus,composite,39.17289930851651,nan,39.17289930851651,1,1,3
247.0,alpha,nucleus,composite,112.17644600408092,nan,112.17644600408092,1,1,3
248.0,pion,pion_like,meson,inf,nan,nan,0,0,0
248.0,rho,rho_like,meson,inf,nan,nan,0,0,0
248.0,kaon,kaon_like,meson,inf,nan,nan,0,0,0
248.0,phi,phi_like,meson,inf,nan,nan,0,0,0
248.0,eta,eta_like,meson,inf,nan,nan,0,0,0
248.0,omega_782,omega_like,meson,inf,nan,nan,0,0,0
248.0,Kstar_892,kstar_like,meson,inf,nan,nan,0,0,0
248.0,eta_prime,eta_prime_like,meson,inf,nan,nan,0,0,0
248.0,quark_ud_const,quark_like,constituent,inf,nan,nan,0,0,0
248.0,quark_s_const,quark_like,constituent,inf,nan,nan,0,0,0
248.0,proton,nucleon_like,baryon,inf,nan,nan,0,0,0
248.0,neutron,nucleon_like,baryon,inf,nan,nan,0,0,0
248.0,delta_1232,delta_like,baryon,inf,nan,nan,0,0,0
248.0,electron,lepton,elementary,inf,nan,nan,0,0,0
248.0,muon,lepton,elementary,inf,nan,nan,0,0,0
248.0,tau,lepton,elementary,inf,nan,nan,0,0,0
248.0,photon,gauge_boson,elementary,inf,nan,nan,0,0,0
248.0,deuteron,nucleus,composite,inf,nan,nan,0,0,0
248.0,alpha,nucleus,composite,inf,nan,nan,0,0,0
249.0,pion,pion_like,meson,10.825156294159452,2.2851564649594502,8.539999829200001,1,1,5
249.0,rho,rho_like,meson,7.286044897446594,3.640211609686178,3.6458332877604165,1,1,5
249.0,kaon,kaon_like,meson,10.003859673985184,2.6205264637074044,7.38333321027778,1,1,5
249.0,phi,phi_like,meson,7.353013019897677,2.511346433925453,4.841666585972224,1,1,5
249.0,eta,eta_like,meson,6.401012323284659,2.2322623753940345,4.168749947890625,1,1,5
249.0,omega_782,omega_like,meson,5.667278205361814,2.1860282488774394,3.4812499564843744,1,1,5
249.0,Kstar_892,kstar_like,meson,4.069021849060866,1.8790218709608666,2.1899999780999995,1,1,5
249.0,eta_prime,eta_prime_like,meson,2.4199999758000024,nan,2.4199999758000024,1,1,5
249.0,quark_ud_const,quark_like,constituent,8.699999913000001,nan,8.699999913000001,1,1,5
249.0,quark_s_const,quark_like,constituent,5.833333284722224,nan,5.833333284722224,1,1,5
249.0,proton,nucleon_like,baryon,5.742110297949177,2.892110333574174,2.8499999643750025,1,1,5
249.0,neutron,nucleon_like,baryon,5.735253202584731,2.891503238131604,2.843749964453127,1,1,5
249.0,delta_1232,delta_like,baryon,5.505217328641115,4.065217343041116,1.4399999855999992,1,1,5
249.0,electron,lepton,elementary,11994.770052299478,nan,11994.770052299478,1,1,5
249.0,muon,lepton,elementary,1094.3389056610945,nan,1094.3389056610945,1,1,5
249.0,tau,lepton,elementary,57.67999423200055,nan,57.67999423200055,1,1,5
249.0,photon,gauge_boson,elementary,119988.00119988002,nan,119988.00119988002,1,1,5
249.0,deuteron,nucleus,composite,67.55999324400065,nan,67.55999324400065,1,1,5
249.0,alpha,nucleus,composite,126.3699936815003,nan,126.3699936815003,1,1,5
250.0,pion,pion_like,meson,28.37128445893359,3.205729406689136,25.165555052244454,0,1,2
250.0,rho,rho_like,meson,13.484990300298918,2.6690182132763485,10.815972087022569,0,1,2
250.0,kaon,kaon_like,meson,19.405318653114264,2.725689301478457,16.679629351635807,1,1,2
250.0,phi,phi_like,meson,13.136329849419052,2.665033727644356,10.471296121774696,1,1,2
250.0,eta,eta_like,meson,15.55472892867915,2.35125687150033,13.203472057178821,1,1,2
250.0,omega_782,omega_like,meson,13.279043330319457,2.3255712450156363,10.95347208530382,1,1,2
250.0,Kstar_892,kstar_like,meson,10.299333051273315,2.0315553561733166,8.2677776951,1,1,2
250.0,eta_prime,eta_prime_like,meson,9.9755554558,nan,9.9755554558,1,1,2
250.0,quark_ud_const,quark_like,constituent,16.255555392999998,nan,16.255555392999998,1,1,2
250.0,quark_s_const,quark_like,constituent,12.129629528549383,nan,12.129629528549383,1,1,2
250.0,proton,nucleon_like,baryon,12.46390851304154,2.6041864140658455,9.859722098975695,0,1,2
250.0,neutron,nucleon_like,baryon,12.450396687431265,2.6031745882993196,9.847222099131946,0,1,2
250.0,delta_1232,delta_like,baryon,9.134685895933123,3.516908174333123,5.6177777215999996,0,1,2
250.0,electron,lepton,elementary,19550.250053055024,nan,19550.250053055024,1,1,2
250.0,muon,lepton,elementary,1849.89370566185,nan,1849.89370566185,1,1,2
250.0,tau,lepton,elementary,17.87555376800018,nan,17.87555376800018,1,1,2
250.0,photon,gauge_boson,elementary,195536.00195536,nan,195536.00195536,1,1,2
250.0,deuteron,nucleus,composite,7.995554756000081,nan,7.995554756000081,1,1,2
250.0,alpha,nucleus,composite,88.59221779261132,nan,88.59221779261132,1,1,2
251.0,pion,pion_like,meson,13.320586949727408,1.8275007598360447,11.493086189891363,1,1,3
251.0,rho,rho_like,meson,6.0835659709425185,1.8420536782824097,4.241512292660109,1,1,3
251.0,kaon,kaon_like,meson,8.417007210283893,0.008982659059610442,8.408024551224283,1,1,3
251.0,phi,phi_like,meson,3.821579342846036,1.3052213600939773,2.5163579827520586,1,1,3
251.0,eta,eta_like,meson,7.722536042267048,0.7227676112456344,6.999768431021414,1,1,3
251.0,omega_782,omega_like,meson,6.029057947700862,1.279289488554449,4.749768459146413,1,1,3
251.0,Kstar_892,kstar_like,meson,5.21370779358164,1.9088930118149727,3.3048147817666673,1,1,3
251.0,eta_prime,eta_prime_like,meson,0.4199999958000004,nan,0.4199999958000004,1,1,3
251.0,quark_ud_const,quark_like,constituent,6.699999933,nan,6.699999933,1,1,3
251.0,quark_s_const,quark_like,constituent,4.1666666319444445,nan,4.1666666319444445,1,1,3
251.0,proton,nucleon_like,baryon,6.190077093437377,2.544398126662685,3.6456789667746925,0,1,3
251.0,neutron,nucleon_like,baryon,6.192705205340103,2.5553595717945776,3.6373456335455256,0,1,3
251.0,delta_1232,delta_like,baryon,7.251889345905617,5.002012825194505,2.2498765207111115,1,1,3
251.0,electron,lepton,elementary,9994.790052099477,nan,9994.790052099477,1,1,3
251.0,muon,lepton,elementary,894.3391056608945,nan,894.3391056608945,1,1,3
