run_id,target_name,family,type,d_total,d_spacing,d_mass,enough_levels
12.0,proton,nucleon_like,baryon,16.689918887181705,3.468623031595275,13.22129585558643,1
12.0,neutron,nucleon_like,baryon,16.689918887181705,3.468623031595275,13.22129585558643,1
12.0,delta_1232,delta_like,baryon,7.741921439115172,2.730810453281842,5.011110985833331,1
12.0,quark_ud_const,quark_like,effective_quark,24.669266670771396,2.6359337781047247,22.03333289266667,1
12.0,quark_s_const,quark_like,effective_quark,21.11111071666667,2.777777750000001,18.333332966666667,1
13.0,pion,pion_like,meson,0.0,nan,nan,0
13.0,rho,rho_like,meson,0.0,nan,nan,0
13.0,kaon,kaon_like,meson,0.0,nan,nan,0
13.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
13.0,proton,nucleon_like,baryon,0.0,nan,nan,0
13.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
13.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
13.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
13.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
14.0,pion,pion_like,meson,50.135493683180414,7.5390672415731865,42.59642644160723,1
14.0,rho,rho_like,meson,16.484126486978255,3.1746031211052337,13.309523365873021,1
14.0,kaon,kaon_like,meson,28.246047287392926,5.265095672472278,22.98095161492065,1
14.0,phi,phi_like,meson,20.428570407142885,nan,20.428570407142885,1
14.0,proton,nucleon_like,baryon,16.058379102321084,3.895284269662344,12.163094832658738,1
14.0,neutron,nucleon_like,baryon,16.058379102321084,3.895284269662344,12.163094832658738,1
14.0,delta_1232,delta_like,baryon,4.5538991286512935,1.1300896904370132,3.42380943821428,1
14.0,quark_ud_const,quark_like,effective_quark,22.08905732733221,1.9604863013322116,20.128571026,1
14.0,quark_s_const,quark_like,effective_quark,18.57142822142857,2.1428571214285705,16.4285711,1
15.0,pion,pion_like,meson,34.54323004888015,8.851564666796744,25.6916653820834,1
15.0,rho,rho_like,meson,38.203702431618694,23.70370291495201,14.499999516666682,1
15.0,kaon,kaon_like,meson,17.612599797944124,6.901489043870035,10.711110754074088,1
15.0,phi,phi_like,meson,24.33333211666673,nan,24.33333211666673,1
15.0,proton,nucleon_like,baryon,30.645521660617867,16.292744361266,14.352777299351867,1
15.0,neutron,nucleon_like,baryon,30.645521660617867,16.292744361266,14.352777299351867,1
15.0,delta_1232,delta_like,baryon,31.44218919643952,17.008856223939514,14.43333297250001,1
15.0,quark_ud_const,quark_like,effective_quark,6.948226844919574,3.5815602455862385,3.3666665993333353,1
15.0,quark_s_const,quark_like,effective_quark,7.3333332233333355,3.6666666300000004,3.666666593333335,1
