band_count_compound,block_families,block_ids,enough_levels,enough_levels_full,enough_levels_partial,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,n_levels_sim,num_quark_blocks,run_id,s2_band_fraction_compound,s2_state_blocks,s2_state_compound,status,structure_tier_compound,structure_tier_min,target,template_name,label_structural,label,quark_block_count,reasons
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0005', 'quark_ud_const_block_0010', 'quark_s_const_block_0007']",False,False,False,nan,nan,nan,0.5874978679652345,0.08393422802352622,0.0,0,3,38,,"['none', 'structural', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0005', 'quark_s_const_block_0008', 'quark_ud_const_block_0006']",False,False,False,nan,nan,nan,0.6487944097656632,0.6920036069649057,0.0,0,3,39,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0009', 'quark_ud_const_block_0004', 'quark_ud_const_block_0005']",False,False,False,nan,nan,nan,0.5795715699476637,0.1997477015329807,0.0,0,3,40,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0003', 'quark_ud_const_block_0003', 'quark_ud_const_block_0001']",False,False,False,nan,nan,nan,0.05102590634132466,0.37974241994875213,0.0,0,3,41,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0002', 'quark_s_const_block_0003', 'quark_ud_const_block_0001']",False,False,False,nan,nan,nan,0.24198995178939217,0.3431010091185292,0.0,0,3,42,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0006', 'quark_s_const_block_0001', 'quark_ud_const_block_0004']",False,False,False,nan,nan,nan,0.723005407574954,0.5483496339848912,0.0,0,3,43,,"['none', 'latent', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0007', 'quark_ud_const_block_0006', 'quark_ud_const_block_0008']",False,False,False,nan,nan,nan,0.5691740843426328,0.18999971997452064,0.0,0,3,44,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0003', 'quark_s_const_block_0007', 'quark_ud_const_block_0006']",False,False,False,nan,nan,nan,0.6232931517270561,0.45202797919551974,0.0,0,3,45,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0004', 'quark_ud_const_block_0006', 'quark_s_const_block_0007']",False,False,False,nan,nan,nan,0.6512213108308694,0.45202797919551974,0.0,0,3,46,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0005', 'quark_s_const_block_0005', 'quark_s_const_block_0007']",False,False,False,nan,nan,nan,0.6200847467714181,0.2406643363072206,0.0,0,3,47,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0001', 'quark_ud_const_block_0001', 'quark_ud_const_block_0002']",False,False,False,nan,nan,nan,0.1898409456191335,0.5987482629940423,0.0,0,3,48,,"['latent', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0008', 'quark_ud_const_block_0002', 'quark_ud_const_block_0008']",False,False,False,nan,nan,nan,0.45099367818872965,0.08715116266945286,0.0,0,3,49,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0008', 'quark_s_const_block_0002', 'quark_ud_const_block_0006']",False,False,False,nan,nan,nan,0.6074291976567572,0.20508327458772405,0.0,0,3,50,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0004', 'quark_s_const_block_0001', 'quark_ud_const_block_0004']",False,False,False,nan,nan,nan,0.723005407574954,0.4934288011354279,0.0,0,3,51,,"['none', 'latent', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0003', 'quark_ud_const_block_0001', 'quark_ud_const_block_0008']",False,False,False,nan,nan,nan,0.3439168721076133,0.37974241994875213,0.0,0,3,52,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0006', 'quark_ud_const_block_0003', 'quark_s_const_block_0001']",False,False,False,nan,nan,nan,0.2443860210991861,0.5315088001645746,0.0,0,3,53,,"['none', 'none', 'latent']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match;simulation_error
