run_id,best_target,best_d_total,structure_tier,s2_state,band_count_structural,band_count,lock_quality_Q,lock_quality_S1,lock_quality_S2,reasons,selection_config_path,selection_config_hash
1480,lambda_c_2765,3.716852775131472,level1,none,1.0,1.0,0.9996440745943455,5.3272286272232435e-05,0.0003026531193822066,policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1096,lambda_c_2765,0.8600766034992342,level1,none,2.0,2.0,0.9996064225726671,0.00021648565005962786,0.00017709177727348667,policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
751,delta_1900,0.03973667150439024,level1,none,1.0,1.0,0.9988160107339995,0.001052765169026745,0.00013122409697374188,policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
718,sigma_1775,1.1361634267945588,none,none,1.0,1.0,0.0011626326950289253,0.9987693145609119,6.805274405910455e-05,dof_grade_not_a;policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
845,xi_c_2645,0.2896305075184697,level1,none,2.0,2.0,0.9994740927141827,0.00025712088950287837,0.0002687863963142629,dof_grade_not_a,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1438,delta_1950,0.09120255997594999,level1,latent,1.0,1.0,0.9978418834813549,0.0003406997772107308,0.0018174167414343645,dof_grade_not_a;policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1327,lambda_c_2625,0.3240437757304178,level1,none,1.0,1.0,0.9991483788510543,7.656072343663515e-05,0.000775060425509009,policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
589,xi_c_2645,0.9402483504875812,level1,none,1.0,1.0,0.9993785543969684,9.162709127020661e-05,0.0005298185117614618,,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1207,lambda_c_2860,1.0499238708030423,level1,none,1.0,1.0,0.9995368668135717,0.00020282412975646303,0.0002603090566718151,,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1804,lambda_c_2595,1.1702716349546856,level1,none,1.0,1.0,0.9993231876345091,0.00047715481406793224,0.00019965755142300142,policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
