entity_id,template_name,node_count,edge_count,density,degree_mean,degree_std,ola,lineage,genes_inherited,genes_olaX,robustness_score,taxonomy_version,taxonomy_kingdom,taxonomy_family_id,is_candidate,was_swept,sweep_evals_planned,sweep_evals_total,seed_evals_total,seed_success_count,sweep_passed_total,sweep_passed_any,sweep_passed,sweep_seeds_total,sweep_attempted,nan_primary_total,nan_primary_count,nan_primary_rate,seed_success_rate,H_part_norm_mean,H_part_norm_std,PE_lockS1_norm_mean,PE_lockS1_norm_std,R_network_S1_mean,R_network_S1_std,R_mean_lastW_mean,phase_var_lastW_mean,QualityLock_mean,H_part_norm_mean_mean,H_part_norm_mean_std,PE_lockS1_norm_mean_mean,PE_lockS1_norm_mean_std,R_network_S1_mean_mean,R_network_S1_mean_std,robust_score_v1,bins_used_count,H_part_over_bins_std,PE_lock_over_bins_std,R_network_over_bins_std,robust_score_v2,runtime_sec_mean,runtime_sec_p95,pQ_mean,pS1_mean,pS2_mean,best_eval_id
42de8be3cc139f080221481b924f9c0690f3828bd2b0ad4920e2defb2ce249dc,ring_9,9,9,0.25,2.0,0.0,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.6608640452483517,0.006348422386050177,0.916472372753333,,,,,,,,0,,,,,,,,,,
b300638451c3827cdf5d682beef17b73241dd16e81943796c71a161c7c72fb38,ring_12,12,12,0.18181818181818182,2.0,0.0,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.5317689354946394,0.005807051497071876,0.9722159622522518,,,,,,,,0,,,,,,,,,,
9b3a11e47b258feea7173e76b0aabebb3c9eaee4994f37d16d624667be62b995,ladder_5,10,13,0.28888888888888886,2.6,0.5163977794943222,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.6580893570197764,0.20296271373805128,0.35781597728183745,0.01049634113154007,0.4072590698848393,0.015842803743264088,0.9872836694587764,0.0017890139539112288,0.9879707549292828,0.6580893570197764,0.20296271373805128,0.35781597728183745,0.01049634113154007,0.4072590698848393,0.015842803743264088,0.9610989541675672,1,0.0,0.0,0.0,1.0,372.76067089202115,379.1996030639624,0.19856231934479127,0.5282650595792984,0.2731726208945965,3cbb37111440ac55ca4bdb5626a0ee9e19c79bafb0d825b1a6d4e41adc6ffece
bf4a761df3257c4250ef6e669dbe41a868650abffb0fb5b07d79c9fca2e84dcb,bipartite_5_5,10,25,0.5555555555555556,5.0,0.0,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.6919480925964773,0.10346539861082818,0.31659668554997455,0.0061042365557708355,0.3908110016540938,0.024028525925804577,0.9937669800265142,5.1689524264455164e-05,0.9999655044617152,0.6919480925964773,0.10346539861082818,0.31659668554997455,0.0061042365557708355,0.3908110016540938,0.024028525925804577,0.9385162499926955,1,0.0,0.0,0.0,1.0,362.00817948108306,366.4987448689877,0.6014554507202865,0.20142910122999066,0.19711544722641883,2f32c2f0344939484ea4a0da3d9e1970fec8444747ed2776902da73737e52f36
aed17efb2033726f7f189bc56be252325a49010a591e0f0978b28315fc6f5bcc,ladder_6,12,16,0.24242424242424243,2.6666666666666665,0.49236596391733095,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.6002014419007927,0.002164871855899313,0.8979961989522779,,,,,,,,0,,,,,,,,,,
2a21b6d67414d1b522328850d8657a08ef2581914f2dbbbe6724a80c036bfd29,ladder_5,10,13,0.28888888888888886,2.6,0.5163977794943222,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.2182747071484534,0.4160528726595463,0.81247779715422,,,,,,,,0,,,,,,,,,,
896f90fd4145fce92dcda5e949ee01e1ad1c0cff58bfc1e53ab2b40fc8eee7ca,ladder_5,10,13,0.28888888888888886,2.6,0.5163977794943222,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.8063082924216749,0.000430358800078879,0.9724906436278502,,,,,,,,0,,,,,,,,,,
7a126c91e8206652b863427e399f9ae06127c5bbe734d1c664d54ef11b33a62a,bipartite_5_5,10,25,0.5555555555555556,5.0,0.0,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.5533940770889108,0.1203256050707435,0.3538288323160719,0.006173531703183386,0.46266458121958953,0.02245895913464455,0.9359235434203381,0.0022625769814095726,0.98582112698527,0.5533940770889108,0.1203256050707435,0.3538288323160719,0.006173531703183386,0.46266458121958953,0.02245895913464455,0.951457362317551,1,0.0,0.0,0.0,1.0,380.66523598477943,383.378517744923,0.1362999137782665,0.7513446182572446,0.11235546779771198,9031180b4aa6f477f0bbe57252a40ed5a539a46987efc08ff14019c193131721
2e64b7e928a8a160b39229484c329ecfefa78510e8bdebfe0927ebebaded1daa,ladder_6,12,16,0.24242424242424243,2.6666666666666665,0.49236596391733095,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.4115666230779862,0.09451594674238023,0.3176615021586392,0.18698627966399026,0.3492739919446508,0.01557691046187211,0.9361089181237972,0.002363293816324974,0.9549232877572799,0.4115666230779862,0.09451594674238023,0.3176615021586392,0.18698627966399026,0.3492739919446508,0.01557691046187211,0.41136625498103363,1,0.0,0.0,0.0,1.0,453.15693467797246,457.9146670604823,0.6411484925107902,0.015182215994255547,0.34366929101953414,2f7819f4998a456dbbb70434d05eaf65693a6e5b87338a7443c733737fd701c9
8f86f1318b2532e91262bbf7292c6c9a7799a3eec6be38b44cfc3fc2aede92d0,ring_10,10,10,0.2222222222222222,2.0,0.0,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.24702533631036186,0.00025589586136549923,0.999446207136686,,,,,,,,0,,,,,,,,,,
