Nucleon_like_d_spacing,Nucleon_like_d_total,Nucleon_like_has_enough_levels,Nucleon_like_is_match,Nucleon_like_n_levels_sim,Pion_like_d_spacing,Pion_like_d_total,Pion_like_has_enough_levels,Pion_like_is_match,Pion_like_n_levels_sim,R_S1_Q,R_S2_S1,R_S3_S2,Rho_like_d_spacing,Rho_like_d_total,Rho_like_has_enough_levels,Rho_like_is_match,Rho_like_n_levels_sim,band_count,first_energy,has_s2_dominant,s2_band_fraction,s3_band_fraction,second_energy,spacing_mean,spacing_std,third_energy
nan,nan,FALSE,FALSE,3,4.042970619,4.042970619,TRUE,FALSE,3,2.592277299,1.505742747,4.987552197,2.648442093,2.648442093,TRUE,FALSE,3,3,1.555555556,0,0,0,1.777777778,0.222222222,1.11E-16,2
1.842265068,1.842265068,TRUE,FALSE,4,3.769533653,3.769533653,TRUE,FALSE,4,2.332301276,2.191653541,6.434072609,2.142857143,2.142857143,TRUE,FALSE,4,4,1.428571429,0,0,0,1.714285714,0.285714286,1.81E-16,2
6.506532475,6.506532475,TRUE,FALSE,6,4.493337387,4.493337387,TRUE,FALSE,6,2.540199172,1.704339557,6.679899492,7.122626829,7.122626829,TRUE,FALSE,6,6,0.823529412,0,0,0,0.941176471,0.329411765,0.367541161,2
3.808596056,3.808596056,TRUE,FALSE,6,0.693367786,0.693367786,TRUE,TRUE,6,2.360857808,1.914407226,6.879524555,2.560258671,2.560258671,TRUE,FALSE,6,6,0.888888889,0,0,0,1.888888889,0.288888889,0.355555556,2
nan,nan,FALSE,FALSE,3,4.425782372,4.425782372,TRUE,FALSE,3,2.681152205,1.97023317,4.047171708,7.081128748,7.081128748,TRUE,FALSE,3,3,0.8,0,0,0,0.933333333,0.6,0.466666667,2
nan,nan,FALSE,FALSE,3,0.15503876,0.15503876,TRUE,TRUE,3,2.786578751,2.29220012,7.19609466,2.486772487,2.486772487,TRUE,FALSE,3,3,0.625,0,0,0,1.75,0.6875,0.4375,2
nan,nan,FALSE,FALSE,3,4.461670973,4.461670973,TRUE,FALSE,3,2.914718025,1.863258798,4.050551276,8.095238095,8.095238095,TRUE,FALSE,3,3,0.625,0,0,0,0.75,0.6875,0.5625,2
1.842265068,1.842265068,TRUE,FALSE,4,3.769533653,3.769533653,TRUE,FALSE,4,2.783590051,1.991985543,7.400454192,2.142857143,2.142857143,TRUE,FALSE,4,4,1.428571429,0,0,0,1.714285714,0.285714286,1.81E-16,2
nan,nan,FALSE,FALSE,3,0.078134613,0.078134613,TRUE,TRUE,3,2.726491228,2.415850326,3.054478958,3.148148148,3.148148148,TRUE,FALSE,3,3,0.714285714,0,0,0,1.857142857,0.642857143,0.5,2
9.721420981,9.721420981,TRUE,FALSE,5,4.692383413,4.692383413,TRUE,FALSE,5,2.84088967,2.23423612,6.748839393,10.07936508,10.07936508,TRUE,FALSE,5,5,0.357142857,1,0.6,0,0.428571429,0.535714286,0.615488855,2
6.558625576,6.558625576,TRUE,FALSE,4,4.282227964,4.282227964,TRUE,FALSE,4,2.714732735,2.397225807,3.636163022,7.433862434,7.433862434,TRUE,FALSE,4,4,0.666666667,0,0,0,0.833333333,0.5,0.471404521,2
nan,nan,FALSE,FALSE,3,3.769533653,3.769533653,TRUE,FALSE,3,2.82421028,2.053338221,2.370386787,2.142857143,2.142857143,TRUE,FALSE,3,3,1.428571429,0,0,0,1.714285714,0.285714286,1.11E-16,2
4.00551918,4.00551918,TRUE,FALSE,6,1.665833125,1.665833125,TRUE,FALSE,6,2.45479909,1.680219341,3.890184257,2.851169141,2.851169141,TRUE,FALSE,6,6,0.516129032,1,0.666666667,0,1.290322581,0.348387097,0.322838607,2
4.953949699,4.953949699,TRUE,FALSE,4,0.980476601,0.980476601,TRUE,TRUE,4,2.232656249,2.144161511,6.041172687,2.08994709,2.08994709,TRUE,FALSE,4,4,0.933333333,0,0,0,1.866666667,0.533333333,0.326598632,2
nan,nan,FALSE,FALSE,3,4.042970619,4.042970619,TRUE,FALSE,3,2.087898908,2.01232131,9.204372291,2.648442093,2.648442093,TRUE,FALSE,3,3,1.555555556,0,0,0,1.777777778,0.222222222,2.22E-16,2
nan,nan,FALSE,FALSE,3,4.337441198,4.337441198,TRUE,FALSE,3,2.047546232,2.237642219,9.353334174,5.398860399,5.398860399,TRUE,FALSE,3,3,1.076923077,0,0,0,1.230769231,0.461538462,0.307692308,2
3.808596056,3.808596056,TRUE,FALSE,4,0.693367786,0.693367786,TRUE,TRUE,4,2.335871858,1.802787519,5.928590865,2.560258671,2.560258671,TRUE,FALSE,4,4,0.888888889,0,0,0,1.888888889,0.407407407,0.419026241,2
3.426579984,3.426579984,TRUE,FALSE,5,0.946699093,0.946699093,TRUE,TRUE,5,2.098571095,1.94752998,6.390501207,2.214441332,2.214441332,TRUE,FALSE,5,5,0.941176471,0,0,0,1.882352941,0.323529412,0.356598696,2
nan,nan,FALSE,FALSE,3,4.546670293,4.546670293,TRUE,FALSE,3,2.651054049,1.587563248,7.647202215,7.155388471,7.155388471,TRUE,FALSE,3,3,0.842105263,0,0,0,0.947368421,0.578947368,0.473684211,2
nan,nan,FALSE,FALSE,3,4.461670973,4.461670973,TRUE,FALSE,3,2.094605221,2.406505759,5.028266915,6.772486772,6.772486772,TRUE,FALSE,3,3,0.875,0,0,0,1,0.5625,0.4375,2
6.381509033,6.381509033,TRUE,FALSE,4,4.425782372,4.425782372,TRUE,FALSE,4,2.583181272,2.045197366,7.140649663,7.081128748,7.081128748,TRUE,FALSE,4,4,0.8,0,0,0,0.933333333,0.444444444,0.439977553,2
7.200412577,7.200412577,TRUE,FALSE,4,4.493337387,4.493337387,TRUE,FALSE,4,2.44160595,1.798442123,4.995477369,7.122626829,7.122626829,TRUE,FALSE,4,4,0.823529412,0,0,0,0.941176471,0.509803922,0.399923099,2
4.953949699,4.953949699,TRUE,FALSE,5,0.406258972,0.406258972,TRUE,TRUE,5,2.585449933,2.162333702,6.784441451,2.795414462,2.795414462,TRUE,FALSE,5,5,0.8,0,0,0,1.866666667,0.433333333,0.381517438,2
4.398984532,4.398984532,TRUE,FALSE,5,0.214853096,0.214853096,TRUE,TRUE,5,2.619888289,1.668154202,8.818498579,3.148148148,3.148148148,TRUE,FALSE,5,5,0.777777778,0,0,0,1.888888889,0.361111111,0.433012702,2
10.18146395,10.18146395,TRUE,FALSE,4,4.738991987,4.738991987,TRUE,FALSE,4,2.660788379,2.352217618,7.650795122,10.48019881,10.48019881,TRUE,FALSE,4,4,0.303030303,1,0.5,0,0.363636364,0.585858586,0.742819245,2
5.451647184,5.451647184,TRUE,FALSE,5,4.461670973,4.461670973,TRUE,FALSE,5,2.276310322,1.769388666,4.405854512,6.111111111,6.111111111,TRUE,FALSE,5,5,1,0,0,0,1.125,0.3125,0.324759526,2
7.697231921,7.697231921,TRUE,FALSE,4,4.589844551,4.589844551,TRUE,FALSE,4,2.680258077,1.778847004,2.588964573,8.189720333,8.189720333,TRUE,FALSE,4,4,0.666666667,0,0,0,0.761904762,0.476190476,0.538748024,2
10.01525488,10.01525488,TRUE,FALSE,6,4.72215276,4.72215276,TRUE,FALSE,6,2.948419977,2.148736545,3.834714846,10.67673664,10.67673664,TRUE,FALSE,6,6,0.258064516,1,0.666666667,0,0.322580645,0.4,0.639198249,2
6.965993624,6.965993624,TRUE,FALSE,5,4.461670973,4.461670973,TRUE,FALSE,5,2.91391806,1.832209039,3.563452143,7.433862434,7.433862434,TRUE,FALSE,5,5,0.75,0,0,0,0.875,0.46875,0.389059362,2
4.787460149,4.787460149,TRUE,FALSE,4,4.282227964,4.282227964,TRUE,FALSE,4,2.093990994,2.435326191,4.923774356,5.670194004,5.670194004,TRUE,FALSE,4,4,1,0,0,0,1.166666667,0.388888889,0.314269681,2
8.673903143,8.673903143,TRUE,FALSE,5,4.384766827,4.384766827,TRUE,FALSE,5,2.958849191,2.344771098,7.245567776,7.433862434,7.433862434,TRUE,FALSE,5,5,0.714285714,0,0,0,0.857142857,0.5,0.410325903,2
6.21801684,6.21801684,TRUE,FALSE,5,4.337441198,4.337441198,TRUE,FALSE,5,2.353300631,2.429903564,2.077443125,7.026862027,7.026862027,TRUE,FALSE,5,5,0.769230769,0,0,0,0.923076923,0.384615385,0.399704033,2
nan,nan,FALSE,FALSE,3,3.923341947,3.923341947,TRUE,FALSE,3,2.210512002,2.250880245,7.864594099,2.354497354,2.354497354,TRUE,FALSE,3,3,1.5,0,0,0,1.75,0.25,1.11E-16,2
nan,nan,FALSE,FALSE,3,3.769533653,3.769533653,TRUE,FALSE,3,2.563033542,1.873193755,9.689698689,2.142857143,2.142857143,TRUE,FALSE,3,3,1.428571429,0,0,0,1.714285714,0.285714286,1.11E-16,2
nan,nan,FALSE,FALSE,3,0.078134613,0.078134613,TRUE,TRUE,3,2.909863319,2.43594425,4.058817137,3.148148148,3.148148148,TRUE,FALSE,3,3,0.714285714,0,0,0,1.857142857,0.642857143,0.5,2
7.16455059,7.16455059,TRUE,FALSE,5,4.546670293,4.546670293,TRUE,FALSE,5,2.689387958,1.642418828,6.485436492,7.712336397,7.712336397,TRUE,FALSE,5,5,0.736842105,0,0,0,0.842105263,0.368421053,0.455802844,2
nan,nan,FALSE,FALSE,3,4.138673557,4.138673557,TRUE,FALSE,3,2.383663155,1.51034959,5.099157681,2.883597884,2.883597884,TRUE,FALSE,3,3,1.6,0,0,0,1.8,0.2,1.11E-16,2
5.637619554,5.637619554,TRUE,FALSE,4,4.461670973,4.461670973,TRUE,FALSE,4,2.078363292,1.871836552,9.54465565,6.111111111,6.111111111,TRUE,FALSE,4,4,1,0,0,0,1.125,0.416666667,0.328083661,2
2.0952887,2.0952887,TRUE,FALSE,4,3.564455929,3.564455929,TRUE,FALSE,4,2.536246086,2.24409239,3.918941458,2.142857143,2.142857143,TRUE,FALSE,4,4,1.333333333,0,0,0,1.666666667,0.333333333,0,2
nan,nan,FALSE,FALSE,3,0.43995648,0.43995648,TRUE,TRUE,3,2.658481921,2.012149302,5.915542346,3.983570036,3.983570036,TRUE,FALSE,3,3,0.631578947,0,0,0,1.894736842,0.684210526,0.578947368,2
nan,nan,FALSE,FALSE,3,4.738991987,4.738991987,TRUE,FALSE,3,2.933560778,1.508024294,5.621342013,9.838864839,9.838864839,TRUE,FALSE,3,3,0.424242424,1,0.333333333,0,0.484848485,0.787878788,0.727272727,2
nan,nan,FALSE,FALSE,3,3.564455929,3.564455929,TRUE,FALSE,3,2.761589362,2.36923737,7.313571396,2.142857143,2.142857143,TRUE,FALSE,3,3,1.333333333,0,0,0,1.666666667,0.333333333,1.11E-16,2
