run_id,best_target,best_family,best_d_total
1730.0,delta_1232,delta_like,2.8512076551836802
1731.0,quark_ud_const,quark_like,9.917021114580404
1732.0,proton,nucleon_like,0.0
1733.0,delta_1232,delta_like,8.857729247777527
1734.0,pion,pion_like,0.0
1735.0,delta_1232,delta_like,2.851207655183673
1736.0,pion,pion_like,0.0
1737.0,pion,pion_like,0.0
1738.0,proton,nucleon_like,2.846159455948189
1739.0,pion,pion_like,0.0
1740.0,phi,phi_like,0.999999950000009
1741.0,delta_1232,delta_like,0.0
1742.0,kaon,kaon_like,5.107445446200115
1743.0,delta_1232,delta_like,2.8512076551836802
1744.0,phi,phi_like,0.9999999500000034
1745.0,phi,phi_like,0.9999999500000034
1746.0,pion,pion_like,0.0
1747.0,phi,phi_like,0.9999999500000034
1748.0,delta_1232,delta_like,0.7246376647500433
1749.0,delta_1232,delta_like,0.0
1750.0,delta_1232,delta_like,4.216073685818494
1751.0,kaon,kaon_like,5.10744544620012
1752.0,kaon,kaon_like,5.107445446200115
1753.0,proton,nucleon_like,2.846159455948176
1754.0,delta_1232,delta_like,16.960664755369052
1755.0,pion,pion_like,0.0
1756.0,pion,pion_like,0.0
1757.0,pion,pion_like,0.0
1758.0,delta_1232,delta_like,8.857729247777542
1759.0,delta_1232,delta_like,3.301127139416917
1760.0,delta_1232,delta_like,6.655931142889383
1761.0,delta_1232,delta_like,6.52173898275048
1762.0,delta_1232,delta_like,6.347161678287238
1763.0,phi,phi_like,0.9999999500000034
1764.0,proton,nucleon_like,2.846159455948179
1765.0,pion,pion_like,0.0
1766.0,pion,pion_like,0.0
1767.0,delta_1232,delta_like,0.7850241368125712
1768.0,delta_1232,delta_like,2.8512076551836776
1769.0,pion,pion_like,0.0
1770.0,phi,phi_like,0.9999999500000034
1771.0,phi,phi_like,0.9999999500000034
1772.0,proton,nucleon_like,2.8461594559481727
1773.0,pion,pion_like,0.0
1774.0,kaon,kaon_like,5.10744544620012
1775.0,phi,phi_like,0.9999999500000034
1776.0,delta_1232,delta_like,2.8512076551836754
1777.0,delta_1232,delta_like,4.559178640719087
1778.0,pion,pion_like,0.0
1779.0,delta_1232,delta_like,3.088808296009166
1780.0,delta_1232,delta_like,0.0
1781.0,pion,pion_like,0.0
1782.0,pion,pion_like,0.0
1783.0,pion,pion_like,0.0
1784.0,kaon,kaon_like,5.107445446200115
1785.0,pion,pion_like,0.0
1786.0,delta_1232,delta_like,6.1766734281075975
1787.0,delta_1232,delta_like,6.347161678287227
1788.0,pion,pion_like,0.0
1789.0,phi,phi_like,0.999999950000009
1790.0,pion,pion_like,0.0
1791.0,delta_1232,delta_like,0.0
1792.0,delta_1232,delta_like,2.851207655183669
1793.0,delta_1232,delta_like,10.531440960771068
1794.0,delta_1232,delta_like,2.851207655183671
1795.0,kaon,kaon_like,5.107445446200115
1796.0,rho,rho_like,10.370370216735258
1797.0,delta_1232,delta_like,2.851207655183676
1798.0,delta_1232,delta_like,0.0
1799.0,pion,pion_like,0.0
1800.0,delta_1232,delta_like,9.770662909410376
1801.0,quark_ud_const,quark_like,9.917021114580404
1802.0,rho,rho_like,0.12345678829446856
1803.0,delta_1232,delta_like,0.7850241368125662
1804.0,pion,pion_like,0.0
1805.0,delta_1232,delta_like,1.8633539950715743
1806.0,phi,phi_like,0.9999999500000034
1807.0,delta_1232,delta_like,3.0888082960091667
1808.0,delta_1232,delta_like,0.0
1809.0,delta_1232,delta_like,0.0
1810.0,pion,pion_like,0.0
1811.0,delta_1232,delta_like,11.726949327195015
1812.0,delta_1232,delta_like,0.0
1813.0,pion,pion_like,0.0
1814.0,phi,phi_like,0.9999999500000034
1815.0,delta_1232,delta_like,0.7850241368125662
1816.0,delta_1232,delta_like,18.01130304096342
1817.0,delta_1232,delta_like,16.883091364554254
1818.0,delta_1232,delta_like,6.34716167828724
1819.0,delta_1232,delta_like,16.098738190760297
1820.0,pion,pion_like,0.0
1821.0,proton,nucleon_like,2.4395652601534152
1822.0,pion,pion_like,0.0
1823.0,pion,pion_like,0.0
1824.0,pion,pion_like,0.0
1825.0,pion,pion_like,0.0
1826.0,proton,nucleon_like,2.846159455948183
1827.0,pion,pion_like,0.0
1828.0,pion,pion_like,0.0
1829.0,rho,rho_like,0.12345678829446527
1830.0,pion,pion_like,0.0
1831.0,pion,pion_like,0.0
1832.0,rho,rho_like,0.12345678829446856
1833.0,delta_1232,delta_like,2.851207655183669
1834.0,proton,nucleon_like,2.875360326613232
1835.0,delta_1232,delta_like,2.8512076551836802
1836.0,phi,phi_like,0.9999999500000034
1837.0,phi,phi_like,0.999999950000009
1838.0,pion,pion_like,0.0
1839.0,delta_1232,delta_like,0.7246376647500483
1840.0,delta_1232,delta_like,0.0
1841.0,phi,phi_like,0.9999999500000034
1842.0,proton,nucleon_like,5.928777207356607
1843.0,delta_1232,delta_like,3.301127139416907
1844.0,delta_1232,delta_like,1.8633539950715694
1845.0,delta_1232,delta_like,0.0
1846.0,delta_1232,delta_like,7.741921439115187
1847.0,delta_1232,delta_like,6.347161678287236
1848.0,delta_1232,delta_like,6.347161678287234
1849.0,delta_1232,delta_like,10.531440960771066
1850.0,proton,nucleon_like,2.439565260153411
1851.0,delta_1232,delta_like,1.8633539950715694
1852.0,delta_1232,delta_like,4.84949821794266
1853.0,delta_1232,delta_like,6.347161678287236
1854.0,delta_1232,delta_like,2.672101388765822
1855.0,pion,pion_like,0.0
1856.0,delta_1232,delta_like,17.099188667538307
1857.0,pion,pion_like,0.0
1858.0,delta_1232,delta_like,7.74192143911518
1859.0,proton,nucleon_like,2.8753603266132295
1860.0,delta_1232,delta_like,16.498918381471498
1861.0,delta_1232,delta_like,6.274703415222056
1862.0,phi,phi_like,0.9999999500000034
