R_S1_Q,R_S2_S1,R_S3_S2,band_count,band_energies_gev,delta_like_d_spacing,delta_like_d_total,delta_like_has_enough_levels,delta_like_is_match,delta_like_n_levels_sim,first_energy,has_s2_dominant,has_s3_dominant,kaon_like_d_spacing,kaon_like_d_total,kaon_like_has_enough_levels,kaon_like_is_match,kaon_like_n_levels_sim,lock_quality_Q,lock_quality_S1,lock_quality_S2,nucleon_like_d_spacing,nucleon_like_d_total,nucleon_like_has_enough_levels,nucleon_like_is_match,nucleon_like_n_levels_sim,pion_like_d_spacing,pion_like_d_total,pion_like_has_enough_levels,pion_like_is_match,pion_like_n_levels_sim,quark_like_d_spacing,quark_like_d_total,quark_like_has_enough_levels,quark_like_is_match,quark_like_n_levels_sim,rho_like_d_spacing,rho_like_d_total,rho_like_has_enough_levels,rho_like_is_match,rho_like_n_levels_sim,run_id,s2_band_fraction,s2_state,s2_total_fraction,s3_band_fraction,s3_state,s3_total_fraction,second_energy,spacing_mean,spacing_std,structure_tier,third_energy
9.801220013865663,7.399934670227455,,3,"[0.6666666666666666, 1.3333333333333333, 2.0]",4.950248756218907,4.950248756218907,True,False,3,0.6666666666666666,0,0,0.7264957264957268,0.7264957264957268,True,True,3,0.9999469149371246,5.30720871278884e-05,1.297574745361253e-08,nan,nan,False,False,3,2.126436781609196,2.126436781609196,True,False,3,2.092198581560283,2.092198581560283,True,False,3,2.1578947368421053,2.1578947368421053,True,False,3,27,0.0,none,1.297574745361253e-08,0.0,absent,,1.3333333333333333,0.6666666666666667,7.850462293418876e-17,level1,2.0
3.652780841078953,2.508973825958389,,4,"[1.7333333333333332, 1.8666666666666667, 2.0, 2.1333333333333333]",3.0099502487562173,3.0099502487562173,True,False,4,1.7333333333333332,0,0,4.145299145299144,4.145299145299144,True,False,4,0.9997104497881193,0.0002887620658491098,7.881460315488075e-07,2.8723404255319145,2.8723404255319145,True,False,4,4.425287356321838,4.425287356321838,True,False,4,3.5815602836879408,3.5815602836879408,True,False,4,3.5964912280701746,3.5964912280701746,True,False,4,28,0.0,none,7.881460315488075e-07,0.0,absent,,1.8666666666666667,0.1333333333333334,1.050809133373904e-16,level1,2.0
3.0146824571590387,3.582934729377853,,3,"[0.5882352941176471, 1.9411764705882355, 2.0]",9.135206321334506,9.135206321334506,True,False,3,0.5882352941176471,0,0,3.6726998491704372,3.6726998491704372,True,False,3,0.3334321123822515,0.6663521805300544,0.00021570708769410704,nan,nan,False,False,3,0.8316430020283971,0.8316430020283971,True,True,3,9.392991239048811,9.392991239048811,True,False,3,4.653250773993809,4.653250773993809,True,False,3,29,0.0,none,0.00021570708769410704,0.0,absent,,1.9411764705882355,0.7058823529411764,0.6470588235294119,none,2.0
4.935539559027015,6.604926445133052,,2,"[0.32258064516129026, 2.0]",nan,nan,False,False,2,0.32258064516129026,0,0,5.75268817204301,5.75268817204301,True,False,2,0.5005773504371877,0.4980013955319325,0.0014212540308797793,nan,nan,False,False,2,2.2302558398220236,2.2302558398220236,True,False,2,12.844886753603294,12.844886753603294,True,False,2,nan,nan,False,False,2,30,0.0,latent,0.0014212540308797793,0.0,absent,,2.0,nan,nan,level2,nan
4.525713745021586,4.233312012081524,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.9999855525600901,1.4434154553543768e-05,1.3285356275525376e-08,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,31,0.0,none,1.3285356275525376e-08,0.0,absent,,nan,nan,nan,level1,nan
2.8873902570005865,5.397192802653719,,3,"[0.5, 0.5625, 2.0]",10.783582089552242,10.783582089552242,True,False,3,0.5,0,0,4.599358974358974,4.599358974358974,True,False,3,0.6666519023393315,0.33287063316559445,0.0004774644950740613,nan,nan,False,False,3,4.730603448275862,4.730603448275862,True,False,3,4.335106382978723,4.335106382978723,True,False,3,9.394736842105262,9.394736842105262,True,False,3,32,0.0,none,0.0004774644950740613,0.0,absent,,0.5625,0.75,0.6875,level2,2.0
6.991979494247373,6.521989641819114,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.9999810324740277,1.895802728857663e-05,9.498683898682119e-09,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,33,0.0,none,9.498683898682119e-09,0.0,absent,,nan,nan,nan,level1,nan
9.159677454339512,6.242489449547717,,5,"[0.36363636363636365, 1.9090909090909092, 2.0, 2.0909090909090913, 2.181818181818182]",10.332428765264586,10.332428765264586,True,False,5,0.36363636363636365,0,0,4.9067599067599055,4.9067599067599055,True,False,5,0.19851441963378097,0.8013522458013261,0.00013333456489302993,6.934235976789168,6.934235976789168,True,False,5,1.6614420062695914,1.6614420062695914,True,False,5,11.441005802707929,11.441005802707929,True,False,5,5.497607655502392,5.497607655502392,True,False,5,34,0.0,none,0.00013333456489302993,0.0,absent,,1.9090909090909092,0.4545454545454546,0.6298366572977735,none,2.0
3.869740802882914,4.72432727897024,,5,"[1.3333333333333335, 1.6666666666666667, 2.0, 2.3333333333333335, 2.666666666666667]",0.5223880597014947,0.5223880597014947,True,True,5,1.3333333333333335,0,0,2.8632478632478633,2.8632478632478633,True,False,5,0.9995742765272819,0.00042541104242536053,3.1243029283257224e-07,2.0921985815602846,2.0921985815602846,True,False,5,3.563218390804598,3.563218390804598,True,False,5,1.453900709219859,1.453900709219859,True,False,5,2.157894736842105,2.157894736842105,True,False,5,35,0.0,none,3.1243029283257224e-07,0.0,absent,,1.6666666666666667,0.33333333333333337,1.1102230246251565e-16,level1,2.0
6.986702184003874,8.209341049385415,,4,"[0.6666666666666666, 1.3333333333333333, 2.0, 2.6666666666666665]",4.950248756218907,4.950248756218907,True,False,4,0.6666666666666666,0,0,0.7264957264957268,0.7264957264957268,True,True,4,0.999354320037946,0.0006450831373859838,5.968246678927785e-07,5.638297872340426,5.638297872340426,True,False,4,2.126436781609196,2.126436781609196,True,False,4,2.092198581560283,2.092198581560283,True,False,4,2.1578947368421053,2.1578947368421053,True,False,4,36,0.0,none,0.0002945595480264632,0.0,absent,,1.3333333333333333,0.6666666666666666,9.064933036736789e-17,level1,2.0
