block_id,omega_ref_proxy,dof_grade,dof_family_id,dof_family_friendly,genes_min
029cdcf4d86a7d581ab1632eb2656501fc2d0b54a9937015257d5a659ef7e484,6.24888480609,B,b01dafbece991d47,b01dafbece991d47,{}
03946ed1d211e2dadc6110802341f665530de954056f46d46e07fca90bcc88a3,6.3759648353,B,3438ba1c3e51db60,3438ba1c3e51db60,{}
05495825ce7057303b36b0c9562859e31c5da99717ef913bd146b492d2566459,6.31585023296,B,775f59b690500c6a,775f59b690500c6a,{}
064c4ae79c459d481b351d8ef51012e8e71e2fbab2f3f43c880eb1e390372968,6.31881365638,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
06619bb6db03a883ae5637755ed5ec15027ee669b00801193010a5eb1272d49f,6.25945214029,B,f6d9895060767943,f6d9895060767943,{}
08365d1e69455bfea56720f09feac33a52a4a28f47f3279d1c7f7cc4449730b5,6.28585823835,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
0b779971a8c4d94d8065e84a16c28d2065c9861ee0a685dcac34bf686a6756ee,6.39978949258,B,169904b84b6e9a62,169904b84b6e9a62,{}
128ed0e64618928ca7b62b6137a7263c0afac4af437e2ea0f1d9d47fd9102072,6.27789870043,B,3438ba1c3e51db60,3438ba1c3e51db60,{}
1298dcabaa2f8a71ea04dbd5ab144ae7185b3c7f38b3b25055733708cc48a37c,6.39491715095,B,5729baf51a35ae79,5729baf51a35ae79,{}
1568e0955eb5d98ca79edabce112390ff2000a78b5978c9403033b616706229a,6.29350880086,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
16907a1aa87609089e975afd8ec25020b8bba9f4593b068207c09e12649a0a35,6.27850841417,B,b2779210e3187fb5,b2779210e3187fb5,{}
188fee478296f119a1de0957383a665e9956cacaceb583f535f1665531f9548a,6.31186288328,B,e96db2b239065d32,e96db2b239065d32,{}
1b1ee71df48ea492be5ba4805ce0acec7c5ac973d6c519a1d7e9dd82aa4b823f,6.27469388036,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
1de328efb45dd925582e655522b10b2ea1049a3a71d724b42418844028e8eda3,6.34528944914,B,e96db2b239065d32,e96db2b239065d32,{}
1e21ee3aa1b63b3f2fc21003887f430f9bb995e19ca4f4de307739fa92c8df16,6.37465777621,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
21c257cb14a2511ed78d912b6edacdca4f289a1ba91e24bb889e5668ca586b49,6.3211678638,B,3438ba1c3e51db60,3438ba1c3e51db60,{}
234d499a0db42dcd9d205c170fe72a32942a38c6cab9d90f23262d33fc5bac09,6.32535662198,B,101671262d1edcc1,101671262d1edcc1,{}
25f5ac3cb424dd0fd979258ac7013f8b3e700a6945566d11216e4ea055149a00,6.26317004379,B,169904b84b6e9a62,169904b84b6e9a62,{}
28bcbb252254706466e6f19ba2db0c594be92eb6785e8d9026352df68fffd0ff,6.26063700644,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
28fbf536f96aaf1ef468f798d8cb94da95c128e1fa4d4c107bd7bc78231cae99,6.33726387208,B,169904b84b6e9a62,169904b84b6e9a62,{}
29cf84a4cf0169aa923a18d222eee7a2346c1120822cdf1b624ca80bcd6b415d,6.27331847849,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
2e5d4ee07f422c256146bf81c2140297e1d8a153a8b7903bc9bbe6960d9d04bf,6.38612842884,B,c9b47a3d12304628,c9b47a3d12304628,{}
2eaf9eb41966edf107dc7fb5acc56af8330c07e2e966d533dc16f6c1673c0b6b,6.20258577605,B,00ce74cac8df50b8,00ce74cac8df50b8,{}
309b682ca7c4c00ce2b522e09f73313c8af65073438548f12be2df174d64ac84,6.29239757647,B,896e05e558170d45,896e05e558170d45,{}
328c08d672b9e8387c4dc5ce8b79bfd4745657d39c437f64be38d28974a4ae99,6.27946560801,B,b2779210e3187fb5,b2779210e3187fb5,{}
3433e5c1eaca2b4cbdac052150be71b8cca0e17332cc39ab414150df12a23e5e,6.27119660199,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
34a32b170ebaade6d5217c5cca40a870e208322f291563b91bf95a23f6485745,6.30924026686,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
3ab026edaa40912062721986dc2c59eeb44e39b5ae720d805ccba48b23d4667c,6.24613836751,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
3e74f095a88bc899ad4d1d9190a7e64addb905a4d60a9a119d86381e72a1c604,6.25254424868,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
40723e8e37917c03eba03d62098cf46ca72a9829e3e74424d0cfac8526d38f42,6.2793509951,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
41dde8d48fc439f53450a84c514dcc6aba4cd7430ebf8203b073e0601b28eb63,6.27738232079,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
421745070a2ca87fd62ddccf45b699c5494b95c539dbb4407f33f020fcffe96d,6.24999368011,B,64eae3aec361bb5c,64eae3aec361bb5c,{}
4815fc92daf469724038ffa2dc9691abb7d9259ebc3982da2c625d03f33f9476,6.31946474939,B,3438ba1c3e51db60,3438ba1c3e51db60,{}
4948da30a6006c441fef6fcc21b1e2eaee9dfa69db508157a83788327cb7e512,6.29587355581,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
499ebe4282404613c2827fc53447ba9c0446aa46f49cf98dbd01138e66e70e1c,6.18562318516,B,e96db2b239065d32,e96db2b239065d32,{}
49ae952e9ab07bed12213e6c9c9af6da90446f019e849c0372d43ea5c3f57a54,6.32411797738,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
