run_id,dof_grade,dof_family_id,dof_family_friendly,omega_ref_proxy,genes_min,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
117,A,FBB22,LOCKED_lowEnt_vhiBands_S1Q_bin7_S2S1_bin3,8.56455732392752,"{""D_dyn"":0.4003869220975309,""D_stat"":0.993596066887994,""V_layers"":1.0070602464594973,""V_lock"":22.15532542210894,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.007035439612658394,""rho_lock"":0.3978228710294963,""s2_state"":""none"",""structure_tier"":""level1""}",5.023910040773791,5.056356057035443,,0.5975296128934497,22,0.3978228710294963,0.9992017864566702,0.007035439612658394,
118,B,F6663,LOCKED_midEnt_midBands_S1Q_bin7_S2S1_bin3,8.930821773264435,"{""D_dyn"":0.5119825058656522,""D_stat"":0.9895274667483971,""V_layers"":1.011571693713816,""V_lock"":12.13886032456579,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.011505253723696329,""rho_lock"":0.5066207520487351,""s2_state"":""none"",""structure_tier"":""level1""}",5.650051593668215,2.4406714021928075,,0.6080527801291877,12,0.5066207520487351,0.9985480384489374,0.011505253723696329,
119,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,12.524873003008762,"{""D_dyn"":0.45055872862428936,""D_stat"":0.9916962451145303,""V_layers"":1.0091643449626058,""V_lock"":12.10997213955127,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.009122607159264903,""rho_lock"":0.44681739938028436,""s2_state"":""none"",""structure_tier"":""level1""}",9.083367766983462,2.151914533533154,,0.6449363837543349,12,0.44681739938028436,0.99890305762565,0.009122607159264903,
12,B,F671E,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,6.304881262726507,"{""D_dyn"":0.15062881300107853,""D_stat"":0.9980599517357123,""V_layers"":1.0021336338278701,""V_lock"":11.023469972106572,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0021313608637556834,""rho_lock"":0.15033658583386406,""s2_state"":""none"",""structure_tier"":""level1""}",7.969340623086044,5.262124459710915,,0.6275029270863066,11,0.15033658583386406,0.9997798078841914,0.0021313608637556834,
120,B,FE34A,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,6.373567934395575,"{""D_dyn"":0.1363164988480802,""D_stat"":0.9965222954917545,""V_layers"":1.0038279568922737,""V_lock"":17.065075267168652,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0038206489091150014,""rho_lock"":0.13584243034548799,""s2_state"":""none"",""structure_tier"":""level1""}",6.5776339199833185,4.665397973366564,,0.6130409882482561,17,0.13584243034548799,0.9995893499205948,0.0038206489091150014,
121,B,FABA5,LOCKED_midEnt_hiBands_S1Q_bin8_S2S1_bin3,12.34457573095122,"{""D_dyn"":0.36770151909697657,""D_stat"":0.9906021433034773,""V_layers"":1.0103780834490144,""V_lock"":16.16604933518423,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.010324600853941695,""rho_lock"":0.36424591291340946,""s2_state"":""none"",""structure_tier"":""level1""}",7.828643335296408,3.1740802696965646,,0.6110546070668146,16,0.36424591291340946,0.9987031478742359,0.010324600853941695,
122,C,F1D25,REJECTED,6.560655705878916,"{""D_dyn"":0.16343106315923484,""D_stat"":0.9840914158114943,""V_layers"":1.0176309889165922,""V_lock"":30.528929667497767,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.017477366084803565,""rho_lock"":0.16083110633194916,""s2_state"":""latent"",""structure_tier"":""none""}",2.848718099658665,6.988692405686082,,0.6126301540833818,30,0.16083110633194916,1.946406599678298e-05,0.017477366084803565,
123,A,F71E9,LOCKED_lowEnt_maxBands_S1Q_bin5_S2S1_bin3,6.596370263906467,"{""D_dyn"":0.2040409108125219,""D_stat"":0.9952175942432354,""V_layers"":1.005267836247193,""V_lock"":26.136963742427017,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.005254009733778719,""rho_lock"":0.20306510438603662,""s2_state"":""none"",""structure_tier"":""level1""}",4.069983089919975,5.658655049779797,,0.6433718940759495,26,0.20306510438603662,0.9993982196476209,0.005254009733778719,
124,A,F2392,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,6.2534978387449,"{""D_dyn"":0.29872209973186686,""D_stat"":0.9971630628559524,""V_layers"":1.0031215559491495,""V_lock"":19.059309563033842,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.003116694008629779,""rho_lock"":0.2978746439113896,""s2_state"":""none"",""structure_tier"":""level1""}",8.81728566341471,2.7861877413633813,,0.6578452646828621,19,0.2978746439113896,0.9996666401573807,0.003116694008629779,
125,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.679317104417889,"{""D_dyn"":0.3957566476341564,""D_stat"":0.9983795653899339,""V_layers"":1.0017818149246573,""V_lock"":14.024945408945204,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0017802293756016968,""rho_lock"":0.3951153498651663,""s2_state"":""none"",""structure_tier"":""level1""}",9.695575879792603,5.833372584066091,,0.6548291127443637,14,0.3951153498651663,0.9998240455284566,0.0017802293756016968,
126,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,12.965440339263893,"{""D_dyn"":0.43841079672054917,""D_stat"":0.9943071226941117,""V_layers"":1.0062738637185549,""V_lock"":12.07528636462266,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.006254264966128673,""rho_lock"":0.43591497784524236,""s2_state"":""none"",""structure_tier"":""level1""}",8.461376353680771,7.954090983865954,,0.6242829117992367,12,0.43591497784524236,0.9992793665329415,0.006254264966128673,
127,A,F667F,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,8.356161131330268,"{""D_dyn"":0.418546215896542,""D_stat"":0.9959258520129074,""V_layers"":1.0044859408869802,""V_lock"":12.053831290643762,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.004475909044472409,""rho_lock"":0.4168409966735419,""s2_state"":""none"",""structure_tier"":""level1""}",5.216759915087898,4.929573259912666,,0.610735396741816,12,0.4168409966735419,0.9995183200579522,0.004475909044472409,
128,A,F5139,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.2274055404588236,"{""D_dyn"":0.3105458907267542,""D_stat"":0.9974114344758636,""V_layers"":1.0028478774149845,""V_lock"":20.05695754829969,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.002843829894838963,""rho_lock"":0.3097420223403567,""s2_state"":""none"",""structure_tier"":""level1""}",8.731984241176374,7.225243705853402,,0.6294928496520878,20,0.3097420223403567,0.99970568377539,0.002843829894838963,
129,B,F0808,LOCKED_lowEnt_midBands_S1Q_bin1_S2S1_bin3,6.332048422134138,"{""D_dyn"":0.12911093290389872,""D_stat"":0.9965993281202808,""V_layers"":1.0037430075384515,""V_lock"":12.044916090461417,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0037360199167875427,""rho_lock"":0.12867186898500813,""s2_state"":""none"",""structure_tier"":""level1""}",2.1732904884341755,8.682481099389173,,0.6190483248417287,12,0.12867186898500813,0.9995994758999011,0.0037360199167875427,
13,A,FCDD6,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,8.642926187029195,"{""D_dyn"":0.6399133606321817,""D_stat"":0.9932301532950439,""V_layers"":1.007465163210639,""V_lock"":11.08211679531703,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.00743743678246408,""rho_lock"":0.6355812452762486,""s2_state"":""none"",""structure_tier"":""level1""}",5.085688819977796,6.215821416649722,,0.609788718375622,11,0.6355812452762486,0.9991497797960375,0.00743743678246408,
130,A,F24A6,LOCKED_lowEnt_maxBands_S1Q_bin4_S2S1_bin3,6.087098116898704,"{""D_dyn"":0.2048978562827611,""D_stat"":0.9979928769330711,""V_layers"":1.002207482976996,""V_lock"":30.06622448930988,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0022050500661972977,""rho_lock"":0.2044866010690517,""s2_state"":""none"",""structure_tier"":""level1""}",3.6310351477961778,6.5209568472351425,,0.6441527304243212,30,0.2044866010690517,0.9997822009102442,0.0022050500661972977,
131,A,FDDBA,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.271783722299486,"{""D_dyn"":0.23946994659519374,""D_stat"":0.9992653777874195,""V_layers"":1.0008073907548505,""V_lock"":21.01695520585186,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0008070649902694667,""rho_lock"":0.23929402665317945,""s2_state"":""none"",""structure_tier"":""level1""}",8.37621092173139,8.63292400077383,,0.6513849793196662,21,0.23929402665317945,0.9999278343492893,0.0008070649902694667,
132,A,FDDBA,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.042063595419605,"{""D_dyn"":0.284396363724784,""D_stat"":0.9924445073600636,""V_layers"":1.008335102200086,""V_lock"":21.175037146201806,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.008300557061175521,""rho_lock"":0.2822476090918367,""s2_state"":""none"",""structure_tier"":""level1""}",7.4814086460103555,2.095393308600134,,0.6122662500394175,21,0.2822476090918367,0.999024671718385,0.008300557061175521,
