run_id,accepted,reasons,band_count,lock_quality_Q,structure_tier,d_total_best,selection_config_path,selection_config_hash
1172,1,,1.0,0.9995879110207119,level1,0.19570782210730678,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
796,1,,2.0,0.9994913603048502,level1,0.009564395510890344,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1608,1,,1.0,0.9990326904540361,level1,1.0153342977332929,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1510,0,policy_rejected,2.0,0.9990749726037043,level1,0.4287212523759567,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
797,0,dof_grade_not_a,1.0,0.00029793283388432356,none,3.07359549232023,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
711,0,dof_grade_not_a,2.0,0.9997604592080578,level1,0.05891243977719206,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
916,0,dof_grade_not_a,2.0,0.999441000475458,level1,0.6687567201141938,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1213,0,policy_rejected,2.0,0.9991423180376684,level1,0.8299553481004449,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
316,0,dof_grade_not_a,2.0,0.999770395281639,level1,1.3019537956584526,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
812,1,,2.0,0.9994439014347978,level1,1.9201738283188434,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1215,1,,3.0,0.9989342557089206,level1,0.23551100322446156,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
47,1,,2.0,0.9998305348950363,level1,1.6763903661804689,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1219,0,policy_rejected,1.0,0.9995380895514538,level1,0.012162109945944168,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
883,1,,2.0,0.9996405081100631,level1,0.057010650859784975,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1304,0,policy_rejected,2.0,0.9994479845108598,level1,0.037377345087422284,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
808,0,dof_grade_not_a;policy_rejected,2.0,0.998972481882761,level1,0.5129706832343145,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
